,Zhang¡¯s T cells,Kang¡¯s PBMCs,Zheng¡¯s PBMCs,Baron Human,Muraro,Segeratolpe,AMB,TM,Baron Mouse
WCSGNet-EWCSN,0.825,0.939,0.761,0.986,0.973,0.994,1,0.958,0.981
WCSGNet-WCSN,0.822,0.939,0.765,0.987,0.973,0.994,1,0.957,0.981
