,Zhang¡¯s T cells,Kang¡¯s PBMCs,Zheng¡¯s PBMCs,Baron Human,Muraro,Segeratolpe,AMB,TM,Baron Mouse
WCSGNet-EWCSN,0.772,0.861,0.693,0.975,0.964,0.992,1,0.929,0.969
WCSGNet-WCSN,0.768,0.865,0.703,0.978,0.966,0.993,1,0.927,0.972
