,WCSGNet,WCSGNet(LWT),WCSGNet(UWA)
acinar,0.968889,0.971047,0.966741
alpha,0.990099,0.987624,0.991347
beta,0.960452,0.957303,0.957303
delta,0.984293,0.979058,0.986877
duct,0.946939,0.95122,0.948665
endothelial,0.952381,0.930233,0.952381
mesenchymal,0.951807,0.969325,0.963415
pp,0.956522,0.945813,0.946341
