,WCSGNet,WCSGNet(LWT),WCSGNet(UWA)
B cells ,0.979592,0.979962,0.978499
CD14+ Monocytes,0.948362,0.950365,0.948399
CD4 T cells,0.97731,0.977872,0.976438
CD8 T cells,0.843537,0.850543,0.84835
Dendritic cells,0.841026,0.845361,0.828125
FCGR3A+ Monocytes,0.824684,0.832984,0.825905
Megakaryocytes,0.58216,0.574163,0.574163
NK cells,0.893641,0.897133,0.896901
