,WCSGNet,WCSGNet(LWT),WCSGNet(UWA)
B_cell  ,0.842105,1,1
activated_stellate,0.846154,1,1
alpha,0.835681,0.944444,0.953846
beta,0.946294,0.991041,0.989356
delta,0.729805,0.960557,0.95612
ductal,0.98155,0.998185,0.994575
endothelial,0.934866,0.99639,1
gamma,0.298507,0.837838,0.883117
macrophage,0.927536,0.986301,1
quiescent_stellate,0.888889,1,1
