,WCSGNet,WCSGNet(LWT),WCSGNet(UWA)
PSC,0.990826,0.990826,0.990826
acinar  ,0.991736,0.994505,0.994536
alpha,0.994831,0.995408,0.995408
beta,0.992395,0.992366,0.994286
delta,0.977578,0.982143,0.981982
ductal,0.997382,0.996068,0.996058
endothelial,1,1,0.967742
gamma,0.994845,0.994845,0.994845
